"name","type","beta_shape1","beta_shape2","gamma_shape","gamma_scale","lnorm_meanlog","lnorm_sdlog","as_duration","lnorm_mean","lnorm_q2.5","lnorm_q97.5","gamma_mean","gamma_q2.5","gamma_q97.5","beta_mean","beta_q2.5","beta_q97.5"
"beta2009","null",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"beta2020","null",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eta_h","null",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eta_l","null",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k_grasp","null",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k_gumcad","null",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"omega","lnorm",NA,NA,NA,NA,-0.874965678508369,0.386057419565977,FALSE,0.449128826849218,0.195611580754606,0.888423229091733,NA,NA,NA,NA,NA,NA
"sigma","gamma",NA,NA,14.8537388030533,0.000866900414737344,NA,NA,TRUE,NA,NA,NA,77.6595744680851,139.208458589471,49.4951852003913,NA,NA,NA
"nu","gamma",NA,NA,12.3245005320807,0.0349009669951106,NA,NA,TRUE,NA,NA,NA,2.32484076433121,4.45369469335968,1.42560335680243,NA,NA,NA
"mu","gamma",NA,NA,7.29048195160861,0.00101464626386469,NA,NA,TRUE,NA,NA,NA,135.185185185185,328.786400209602,73.2322759349198,NA,NA,NA
"rho","gamma",NA,NA,94.1114402031626,0.000203780562175865,NA,NA,TRUE,NA,NA,NA,52.1428571428572,64.5165295079342,43.0255807339097,NA,NA,NA
