"","beta2009","epsilon","eta_h","omega","mu","nu","phi_beta","phi_eta","prev_Ash","prev_Asl","psi","rho","sigma","k_gumcad","k_grasp"
"beta2009",0.00801411842735839,-0.00617785049561761,0.00151205178356693,-0.00284453642965829,-1.6286574722795,0.111334501501798,-0.000322269316364439,-0.000542269741792359,-0.000463448650176359,-0.00000143708411693911,-0.0026069219745909,-0.0104626659015017,-0.153533505904839,-0.0000084808442386673,0.0000619410556896692
"epsilon",-0.00617785049561761,0.0962317221903673,0.00126622057479508,0.00341553229935439,2.34355952502478,0.00307769758551964,0.000957711655228259,-0.00265035790061034,0.000814002538427122,0.0000963144527665016,0.00134343193400515,-0.0616036858718181,0.179855729698923,0.000328771928455465,-0.0000555547279634682
"eta_h",0.00151205178356693,0.00126622057479508,0.00259301574832785,-0.00586190472963087,-0.711994599633782,0.0224233498792098,-0.000211977148537677,-0.00133366616425315,-0.000516433621958002,0.0000142386634610848,0.000499895029008513,0.0384546427256629,-0.296590869334801,0.0000941466081980838,-0.0000324725609442621
"omega",-0.00284453642965829,0.00341553229935439,-0.00586190472963087,0.0199133345420118,0.780603112498652,-0.0311659516741155,0.000788417177995454,-0.000909861134473773,0.00151615320162411,-0.0000151951073413765,-0.00245535611227512,-0.0812751174219168,0.600894990547935,0.0000161709395732098,-0.0000191078973103669
"mu",-1.6286574722795,2.34355952502478,-0.711994599633782,0.780603112498652,12098.825197892,-21.9828033970364,0.115846174120215,0.872732284367507,0.15244494801508,-0.0375120034945423,0.488479266380335,-57.420330822914,-33.8364863059977,0.0407500997119085,0.0122447566241592
"nu",0.111334501501798,0.00307769758551964,0.0224233498792098,-0.0311659516741155,-21.9828033970364,1.67994715624898,-0.00275381709191747,-0.0127234236045168,-0.004458636895299,-0.0000477742700477013,-0.0396304252224157,-0.224796352598582,-4.14056183426398,0.000471380755224829,0.00089883470148104
"phi_beta",-0.000322269316364439,0.000957711655228259,-0.000211977148537677,0.000788417177995454,0.115846174120215,-0.00275381709191747,0.0000924981941642596,-0.0000495830288108419,0.000107532291462062,-0.00000293861122407418,-0.0000521369673473487,-0.000901893721749797,0.00917781546605874,0.0000133779642233067,-0.00000198414759056458
"phi_eta",-0.000542269741792359,-0.00265035790061034,-0.00133366616425315,-0.000909861134473773,0.872732284367507,-0.0127234236045168,-0.0000495830288108419,0.00425680987342577,0.000051177866396735,-0.000019575302391486,0.000460332735776889,-0.0340495836579795,0.147435225751954,-0.000171044424334149,0.000126388160484137
"prev_Ash",-0.000463448650176359,0.000814002538427122,-0.000516433621958002,0.00151615320162411,0.15244494801508,-0.004458636895299,0.000107532291462062,0.000051177866396735,0.000226755047345419,-0.000012054866979124,-0.000169407937869792,-0.0073013419888604,0.0221901023765137,-0.0000126390248691828,0.0000025063080045651
"prev_Asl",-0.00000143708411693911,0.0000963144527665016,0.0000142386634610848,-0.0000151951073413765,-0.0375120034945423,-0.0000477742700477013,-0.00000293861122407418,-0.000019575302391486,-0.000012054866979124,0.00000768043565840196,0.0000119328227789151,0.00144298101078279,0.00929487433226447,0.00000174799957959747,-0.00000198038288710379
"psi",-0.0026069219745909,0.00134343193400515,0.000499895029008513,-0.00245535611227512,0.488479266380335,-0.0396304252224157,-0.0000521369673473487,0.000460332735776889,-0.000169407937869792,0.0000119328227789151,0.00170540464088596,0.0162504326642145,0.0179384981264608,0.00000172717607021854,-0.0000202591213597675
"rho",-0.0104626659015017,-0.0616036858718181,0.0384546427256629,-0.0812751174219168,-57.420330822914,-0.224796352598582,-0.000901893721749797,-0.0340495836579795,-0.0073013419888604,0.00144298101078279,0.0162504326642145,33.3071280283402,-14.2296709905519,0.00284856037330664,-0.00176183264907984
"sigma",-0.153533505904839,0.179855729698923,-0.296590869334801,0.600894990547935,-33.8364863059977,-4.14056183426398,0.00917781546605874,0.147435225751954,0.0221901023765137,0.00929487433226447,0.0179384981264608,-14.2296709905519,599.626887575741,-0.0134038289165907,-0.00109243007558397
"k_gumcad",-0.0000084808442386673,0.000328771928455465,0.0000941466081980838,0.0000161709395732098,0.0407500997119085,0.000471380755224829,0.0000133779642233067,-0.000171044424334149,-0.0000126390248691828,0.00000174799957959747,0.00000172717607021854,0.00284856037330664,-0.0134038289165907,0.0000713270415361676,-0.00000480817290177961
"k_grasp",0.0000619410556896692,-0.0000555547279634682,-0.0000324725609442621,-0.0000191078973103669,0.0122447566241592,0.00089883470148104,-0.00000198414759056458,0.000126388160484137,0.0000025063080045651,-0.00000198038288710379,-0.0000202591213597675,-0.00176183264907984,-0.00109243007558397,-0.00000480817290177961,0.0000243837802945514
